userID	itemID	label
1217	289	1
596	9050	0
1450	5285	0
408	5135	0
1393	198	1
883	63	1
1551	2429	0
265	7903	0
800	6238	0
499	6239	0
631	127	1
894	77	1
1573	2054	1
633	343	1
253	953	1
1135	22	1
1698	9119	0
317	956	1
973	2780	1
346	659	1
569	718	0
321	861	1
1071	413	1
1817	127	1
1603	159	1
439	127	1
1678	4773	0
373	1608	1
1833	277	1
146	1396	0
661	2232	1
1462	8990	0
364	1322	1
756	7641	0
1408	4410	0
703	445	1
1502	5658	0
587	87	1
1822	7960	0
195	1767	0
1823	1319	0
1005	90	1
870	2614	1
1636	2392	0
1510	357	1
405	4322	0
367	334	1
1745	799	1
1135	1461	1
1642	3722	0
1507	413	1
1021	8773	0
292	545	1
1826	1442	1
110	8472	0
520	7129	0
328	79	1
899	2066	1
781	46	1
116	817	1
1636	1253	1
1219	1354	1
1561	3668	0
1551	582	1
33	303	1
1065	4795	0
4	6551	0
737	1635	1
492	6388	0
1760	8596	0
299	5333	0
36	327	1
233	1211	0
807	1523	1
1154	3078	0
821	6603	0
1606	9119	0
1516	3667	0
1132	3017	1
1263	5434	0
1270	1168	1
146	1407	0
343	6173	0
1383	1104	1
1601	1207	0
690	322	0
555	2013	1
1823	6446	0
644	2031	1
596	1088	1
63	4806	0
867	127	1
776	2725	0
1022	1443	1
1849	79	1
1263	1212	0
1263	2763	0
455	46	1
1217	8596	0
102	545	1
810	80	1
1315	159	1
1870	9123	0
1134	504	1
93	795	0
101	736	1
1512	135	1
1198	8389	0
1735	34	1
1062	216	1
276	3529	0
1583	8204	0
1650	6724	0
1361	945	1
1740	8083	0
1067	3121	0
339	1526	1
1474	2512	1
733	5771	0
995	22	1
466	254	1
1600	96	1
477	2720	0
1316	6429	0
89	4906	0
467	135	1
293	1430	1
203	932	1
1854	9007	0
345	37	1
202	445	1
598	7885	0
1229	8215	0
855	574	1
1510	1517	1
1283	261	1
588	8899	0
1195	1396	1
202	3715	0
508	1146	1
1029	261	1
1364	2469	1
1633	2489	0
1713	7511	0
1498	538	1
1094	22	1
871	601	1
624	325	1
710	8843	0
233	137	1
1395	5821	0
1839	135	1
690	8450	0
820	507	0
1216	7105	0
27	7627	0
1711	5907	0
1059	126	1
1842	7472	0
1504	3186	0
1694	3706	0
1175	1008	0
907	9309	0
541	6827	0
1376	6312	0
423	1743	1
1683	1411	0
117	528	1
390	2546	0
1711	3538	0
1563	2499	0
1351	445	0
909	1321	0
1440	1598	0
1659	1502	1
479	4484	0
1234	8929	0
1765	7163	0
1619	799	1
1728	96	1
174	1052	1
65	521	1
1650	3591	1
1197	760	0
1802	2067	0
399	620	0
1286	7663	0
684	1397	1
1561	2727	0
599	1084	1
221	571	1
1294	239	1
319	277	1
1329	6320	0
87	7988	0
32	5539	0
893	253	1
316	4564	0
1643	241	1
700	137	1
377	1517	1
564	1538	0
493	713	1
800	1051	1
146	42	1
563	3351	0
1052	2887	0
865	3961	0
597	5641	0
1855	1476	1
754	46	1
756	9182	0
439	2055	0
1617	6080	0
288	9270	0
1222	127	1
1291	1485	0
205	1236	0
455	5355	0
1532	809	0
1079	6214	0
850	1722	1
1321	1651	1
1652	8004	0
1467	129	1
780	96	0
1814	1858	1
377	9341	0
731	5014	0
1812	1230	0
770	5689	0
1257	5187	0
907	4220	0
718	22	1
935	6067	0
146	1102	0
362	1591	1
502	774	1
1577	5406	0
933	8770	0
1380	7988	0
674	2257	1
1100	22	1
1395	96	1
1174	6220	0
1667	3896	0
241	5746	0
310	9223	0
1766	827	1
1472	5349	0
1627	944	1
490	6652	0
1526	1540	0
1143	1174	0
1717	3666	1
1769	320	0
902	5559	0
1416	293	1
1539	40	1
394	538	1
429	5322	0
559	7046	0
745	5628	0
1151	407	1
171	1044	1
1303	4269	0
182	56	1
294	136	1
91	87	1
230	1246	1
301	135	1
922	5539	0
1717	1324	1
891	6594	0
419	7942	0
11	7904	0
1393	2030	1
1415	4875	0
1458	2234	1
1567	735	1
831	6432	0
1376	286	1
1304	96	1
191	199	1
1546	1528	1
1535	1331	0
1651	8533	0
1436	7506	0
343	1545	1
1149	2234	0
350	390	0
281	3531	0
1037	8570	0
396	136	1
1870	8465	0
16	3219	0
238	345	1
400	7361	0
826	7135	0
690	199	1
171	1043	1
804	6572	0
1378	2568	0
1008	2821	1
472	1841	1
169	1118	0
982	3155	0
577	4090	0
1067	44	0
971	80	1
1626	254	1
1348	1555	0
159	4277	0
980	4736	0
306	1462	1
588	2088	1
1168	8618	0
1389	1395	1
62	2745	0
1339	1681	0
1482	5825	0
1137	721	1
484	442	1
46	1071	0
420	883	1
944	807	1
1404	2247	0
838	6896	0
663	254	1
639	258	1
828	141	1
554	632	1
20	2577	0
1112	1241	0
1716	286	1
592	1174	1
1429	5771	0
996	6689	0
779	77	1
1422	1216	1
1310	659	0
313	1330	1
572	75	1
1514	3280	0
863	34	1
1440	1398	0
59	8743	0
47	5963	0
1500	3383	0
1535	136	1
850	8553	0
205	4851	0
684	2081	1
1402	126	1
834	1070	0
45	5454	0
1760	35	1
1434	7666	0
897	372	0
892	53	1
790	8767	0
322	2408	0
1719	2985	1
385	8782	0
1642	22	1
1753	241	1
842	1136	1
1156	888	1
556	1999	0
44	378	1
1564	6543	0
1498	4340	0
979	171	1
1461	80	1
1221	8668	0
724	199	1
1115	1307	0
886	2372	0
522	1942	1
559	2399	0
224	6383	0
1368	7795	0
797	261	1
944	4561	0
363	5905	0
1684	655	1
45	380	1
1195	53	1
819	5551	0
371	2610	0
305	538	1
1108	7465	0
397	265	1
1840	993	0
1390	1033	0
50	404	1
908	8592	0
1799	75	1
1701	3592	0
757	105	1
1607	8622	0
1586	789	0
11	80	1
1496	4762	0
1120	35	1
1367	364	1
1298	5047	0
1000	2939	0
1441	9054	0
1133	2324	0
37	4502	0
1788	8709	0
69	543	1
1547	3068	0
915	1672	1
219	1217	1
900	34	1
39	1598	0
543	391	1
1192	5980	0
687	261	1
1735	5377	0
774	2610	0
1584	96	1
629	374	1
549	7149	0
869	931	0
281	37	1
550	254	0
61	6173	0
241	3867	0
1370	3179	0
1604	293	1
1221	1750	1
444	1253	1
1761	46	1
1268	730	0
411	1717	1
769	35	1
1026	6688	0
1323	81	1
1626	2297	0
1029	202	1
1731	9214	0
1513	8800	0
1848	6143	0
1029	192	1
1363	46	1
750	1122	1
723	4386	0
1532	237	1
190	1132	1
717	6605	0
1338	8984	0
326	9016	0
1359	3294	1
1452	3536	0
1667	1959	0
618	696	0
804	2509	1
1681	3636	1
1828	2060	1
1702	613	0
565	8677	0
8	108	1
1723	7064	0
710	96	1
136	4298	0
325	7653	0
1861	141	1
1502	1632	0
1653	3794	0
440	4053	0
356	6771	0
389	77	1
1451	478	1
304	237	1
781	105	1
433	1774	1
975	891	1
884	5550	0
307	75	1
1375	3605	0
894	7750	0
771	2417	0
1107	4908	0
1197	198	1
1404	2070	1
1808	22	1
74	6524	0
968	219	1
153	973	1
588	5179	0
94	357	1
601	818	0
1492	3436	1
1500	637	1
1681	3633	1
904	9307	0
513	177	1
979	363	1
1691	77	1
120	255	0
1609	8420	0
1177	6663	0
845	1604	1
79	634	1
374	1363	1
1185	3072	1
1507	137	1
1410	254	1
225	73	1
460	79	1
866	2928	0
733	1471	1
860	1398	0
1087	293	1
1828	3786	1
440	7021	0
845	5439	0
287	6531	0
1150	554	1
779	73	1
1637	46	1
662	208	1
233	1236	0
1770	993	1
1344	6257	0
534	5800	0
1719	3667	1
303	254	1
726	1107	0
289	3240	0
266	3902	0
1047	210	1
670	1311	1
761	2440	1
527	3425	0
880	2850	0
1327	171	1
1158	54	1
722	4246	0
633	22	1
1093	781	0
1496	992	1
1640	293	1
175	3883	0
734	2354	1
1756	2676	0
1083	2936	1
1506	2348	0
1030	9006	0
1659	5509	0
1007	6689	0
659	87	1
1404	6328	0
1573	230	1
1645	1921	0
1129	1066	0
112	493	1
1690	33	0
1075	374	1
1830	8991	0
1116	3372	0
457	4546	0
1540	75	1
540	5994	0
1690	45	1
649	5931	0
1779	3529	0
1612	136	1
230	96	1
180	1076	1
179	4569	0
43	79	1
492	1211	0
1116	1379	0
1651	5391	0
1582	6769	0
1347	6585	0
1815	2517	1
1466	3002	0
261	6933	0
969	127	1
1807	137	1
185	219	1
1816	279	1
70	1270	0
477	528	1
1751	127	1
1475	6427	0
176	4008	0
567	325	1
873	1358	0
1147	4736	0
192	6362	0
356	3666	0
1712	5629	0
